id,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating
703,BAPTIST MEDICAL CENTER YAZOO,823 GRAND AVENUE,YAZOO CITY,MS,39194,YAZOO,6627462261,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2
704,TEXAS HEALTH PRESBYTERIAN HOSPITAL ALLEN,1105 CENTRAL EXPRESSWAY NORTH,ALLEN,TX,75013,COLLIN,9727476197,Acute Care Hospitals,Government - Federal,TRUE,TRUE,3
705,JOHNSON COUNTY COMMUNITY HOSPITAL,1901 S SHADY ST,MOUNTAIN CITY,TN,37683,JOHNSON,4237271110,Critical Access Hospitals,Voluntary non-profit - Other,TRUE,TRUE,Not Available
706,PARK CITY HOSPITAL,900 ROUND VALLEY DRIVE,PARK CITY,UT,84060,SUMMIT,4356586700,Acute Care Hospitals,Proprietary,TRUE,TRUE,4
707,AVERA MCKENNAN HOSPITAL & UNIVERSITY HEALTH CENTER,1325 S CLIFF AVE  POST OFFICE BOX 5045,SIOUX FALLS,SD,57117,MINNEHAHA,6053228000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
708,FRANKLIN WOODS COMMUNITY HOSPITAL,300 MED TECH PARKWAY,JOHNSON CITY,TN,37604,WASHINGTON,4233021120,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
709,HOSPITAL UNIVERSITARIO DE ADULTO,BARRIO MONACILLOS CENTROMEDICO,RIO PIEDRAS,PR,927,SAN JUAN,7877540101,Acute Care Hospitals,Government - State,TRUE,TRUE,Not Available
710,JFK MEDICAL CENTER,5301 S CONGRESS AVE,ATLANTIS,FL,33462,PALM BEACH,5619657300,Acute Care Hospitals,Proprietary,TRUE,TRUE,2
711,PROVIDENCE HEALTH CENTER,6901 MEDICAL PARKWAY,WACO,TX,76712,MCLENNAN,2547514000,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,2
712,MEDICAL CITY DALLAS HOSPITAL,7777 FOREST LANE,DALLAS,TX,75230,DALLAS,9725666222,Acute Care Hospitals,Proprietary,TRUE,TRUE,3
713,METROWEST MEDICAL CENTER,115 LINCOLN STREET,FRAMINGHAM,MA,1701,MIDDLESEX,5083831000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
714,UPMC MERCY,1400 LOCUST STREET,PITTSBURGH,PA,15219,ALLEGHENY,4122328111,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2
715,CASCADE MEDICAL CENTER,402 LAKE CASCADE PARKWAY,CASCADE,ID,83611,VALLEY,2083824242,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,Not Available
716,ALLIANCEHEALTH DEACONESS,5501 NORTH PORTLAND AVENUE,OKLAHOMA CITY,OK,73112,OKLAHOMA,4056046109,Acute Care Hospitals,Proprietary,TRUE,TRUE,3
717,HOSPITAL METROPOLITANO SAN GERMAN,CALLE JAVILLA  #8 AL COSTADO PARQUE DE BOMBAS,SAN GERMAN,PR,683,SAN GERMAN,7878925300,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available
718,LOVELACE REGIONAL HOSPITAL - ROSWELL,117 EAST 19TH STREET,ROSWELL,NM,88201,CHAVES,5756253345,Acute Care Hospitals,Proprietary,TRUE,TRUE,3
719,PEMBINA COUNTY MEMORIAL HOSPITAL,BOX 380,CAVALIER,ND,58220,PEMBINA,7012658461,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
720,SPARTANBURG MEDICAL CENTER,101 E WOOD ST,SPARTANBURG,SC,29303,SPARTANBURG,8645606000,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,3
721,ST VINCENT FRANKFORT HOSPITAL INC,1300 S JACKSON ST,FRANKFORT,IN,46041,CLINTON,7656563000,Critical Access Hospitals,Voluntary non-profit - Church,TRUE,TRUE,3
722,PARKVIEW LAGRANGE HOSPITAL,207 N TOWNLINE RD,LAGRANGE,IN,46761,LAGRANGE,2604639000,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
723,NANTUCKET COTTAGE HOSPITAL,57 PROSPECT STREET,NANTUCKET,MA,2554,NANTUCKET,5082281200,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available
724,HEALTHMARK REGIONAL MEDICAL CENTER,4413 US HWY 331 S,DEFUNIAK SPRINGS,FL,32435,WALTON,8509514500,Acute Care Hospitals,Proprietary,TRUE,TRUE,4
725,HOOD MEMORIAL HOSPITAL,301 W WALNUT STREET,AMITE,LA,70422,TANGIPAHOA,9857489485,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,Not Available
726,SOUTHERN SURGICAL HOSPITAL,1700 W LINDBERG DRIVE,SLIDELL,LA,70458,SAINT TAMMANY,9856410600,Acute Care Hospitals,Physician,FALSE,TRUE,Not Available
727,CONTINUECARE HOSPITAL AT BAPTIST HEALTH PADUCAH,"2501 KENTUCKY AVENUE, 5TH FLOOR",PADUCAH,KY,42003,MCCRACKEN,2705752100,Acute Care Hospitals,Voluntary non-profit - Private,FALSE,,Not Available
728,TOWNER COUNTY MEDICAL CENTER,HWY 281 N,CANDO,ND,58324,TOWNER,7019684411,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available
729,MAINE COAST MEMORIAL HOSPITAL,50 UNION STREET,ELLSWORTH,ME,4605,HANCOCK,2076675311,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,5
730,VIDANT BEAUFORT HOSPITAL,628 E 12TH ST,WASHINGTON,NC,27889,BEAUFORT,2529754100,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
731,WEST FELICIANA PARISH HOSPITAL,5266 COMMERCE STREET,SAINT FRANCISVILLE,LA,70775,WEST FELICIANA,2256353811,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,Not Available
732,UT SOUTHWESTERN UNIVERSITY HOSPITAL-ZALE LIPSHY,5151 HARRY HINES BLVD,DALLAS,TX,75390,DALLAS,2148793758,Acute Care Hospitals,Government - State,FALSE,TRUE,4
733,SACRED HEART HOSPITAL ON THE GULF,3801 E HWY 98,PORT SAINT JOE,FL,32456,GULF,8502295600,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
734,CASS REGIONAL MEDICAL CENTER,2800 E ROCK HAVEN ROAD,HARRISONVILLE,MO,64701,CASS,8163805888,Critical Access Hospitals,Government - Local,TRUE,TRUE,3
735,WESTERN ARIZONA REGIONAL MEDICAL CENTER,2735 SILVER CREEK ROAD,BULLHEAD CITY,AZ,86442,MOHAVE,9287632273,Acute Care Hospitals,Proprietary,TRUE,TRUE,2
736,BAPTIST EMERGENCY HOSPITAL,16088 SAN PEDRO,SAN ANTONIO,TX,78232,BEXAR,2104024092,Acute Care Hospitals,Proprietary,TRUE,,4
737,FRANKLIN COUNTY MEMORIAL HOSPITAL,40 UNION CHURCH RD,MEADVILLE,MS,39653,FRANKLIN,6013845801,Critical Access Hospitals,Voluntary non-profit - Other,TRUE,TRUE,Not Available
738,ANN & ROBERT H LURIE CHILDRENS HOSPITAL OF CHICAGO,"225 E CHICAGO, BOX 57",CHICAGO,IL,60611,COOK,7738804000,Childrens,Voluntary non-profit - Other,TRUE,TRUE,Not Available
739,SABINE COUNTY HOSPITAL,"PO BOX 750, 2301 HWY 83 W",HEMPHILL,TX,75948,SABINE,4097873300,Critical Access Hospitals,Proprietary,TRUE,TRUE,Not Available
740,LEVINDALE HEBREW GERIATRIC CENTER AND HOSPITAL,2434 WEST BELVEDERE AVENUE,BALTIMORE,MD,21215,BALTIMORE,4106012400,Acute Care Hospitals,Voluntary non-profit - Private,FALSE,TRUE,Not Available
741,LOURDES MEDICAL CENTER OF BURLINGTON COUNTY,218A SUNSET ROAD,WILLINGBORO,NJ,8046,BURLINGTON,6098352900,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2
742,"SAINT JOSEPH'S HOSPITAL OF ATLANTA, INC",5665 PEACHTREE DUNWOODY ROAD,ATLANTA,GA,30342,FULTON,6788435720,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
743,ELLIS HOSPITAL,1101 NOTT STREET,SCHENECTADY,NY,12308,SCHENECTADY,5182434000,Acute Care Hospitals,Proprietary,TRUE,TRUE,2
744,"MERCY HOSPITAL WATONGA, INC",500 NORTH CLARENCE NASH BOULEVARD,WATONGA,OK,73772,BLAINE,5806237211,Critical Access Hospitals,Voluntary non-profit - Church,TRUE,TRUE,Not Available
745,MARY HITCHCOCK MEMORIAL HOSPITAL,1 MEDICAL CENTER DRIVE,LEBANON,NH,3756,GRAFTON,6036505000,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,3
746,CUERO COMMUNITY HOSPITAL,2550 N ESPLANADE,CUERO,TX,77954,DE WITT,3612756191,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,4
747,PEARLAND MEDICAL CENTER,11100 SHADOW CREEK PARKWAY,PEARLAND,TX,77584,BRAZORIA,7137707000,Acute Care Hospitals,Proprietary,TRUE,TRUE,Not Available
748,SAMARITAN NORTH LINCOLN HOSPITAL,3043 NE 28TH STREET,LINCOLN CITY,OR,97367,LINCOLN,5419943661,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
749,EASTERN MAINE MEDICAL CENTER,PO BOX 404,BANGOR,ME,4401,PENOBSCOT,2079737000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2
750,DUPONT HOSPITAL LLC,2520 E DUPONT RD,FORT WAYNE,IN,46825,ALLEN,2604163000,Acute Care Hospitals,Proprietary,TRUE,TRUE,4
751,PHELPS MEMORIAL HOSPITAL ASSN,701 NORTH BROADWAY,SLEEPY HOLLOW,NY,10591,WESTCHESTER,9143663000,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,3
752,NORTON SOUND REGIONAL HOSPITAL,1000 GREG KRUSCHEK AVENUE (P O BOX 966),NOME,AK,99762,NOME,9074433311,Critical Access Hospitals,Tribal,TRUE,TRUE,Not Available
753,UNION HOSPITAL CLINTON,801 S MAIN ST,CLINTON,IN,47842,VERMILLION,7658321234,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
754,KANSAS CITY ORTHOPAEDIC INSTITUTE,3651 COLLEGE BLVD,LEAWOOD,KS,66211,JOHNSON,9133197633,Acute Care Hospitals,Physician,FALSE,TRUE,Not Available
755,PEARL RIVER COUNTY HOSPITAL,305 WEST MOODY STREET,POPLARVILLE,MS,39470,PEARL RIVER,6017954543,Critical Access Hospitals,Government - Local,TRUE,TRUE,Not Available
756,NORTHERN INYO HOSPITAL,150 PIONEER LANE,BISHOP,CA,93514,INYO,7608735811,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,Not Available
757,TROY COMMUNITY HOSPITAL,275 GUTHRIE DRIVE,TROY,PA,16947,BRADFORD,5702972121,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
758,LITTLE RIVER HEALTHCARE CAMERON HOSPITAL,806 N CROCKETT AVE,CAMERON,TX,76520,MILAM,2546050025,Acute Care Hospitals,Proprietary,TRUE,TRUE,Not Available
759,ESSENTIA HEALTH DULUTH,502 EAST SECOND STREET,DULUTH,MN,55805,SAINT LOUIS,2187862629,Acute Care Hospitals,Voluntary non-profit - Private,FALSE,TRUE,3
760,METHODIST MANSFIELD MEDICAL CENTER,2700 E BROAD STREET,MANSFIELD,TX,76063,TARRANT,6826222059,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
761,SAGEWEST HEALTH CARE,2100 W SUNSET DR,RIVERTON,WY,82501,FREMONT,3078564161,Acute Care Hospitals,Proprietary,TRUE,TRUE,3
762,BETH ISRAEL DEACONESS HOSPITAL - PLYMOUTH,275 SANDWICH STREET,PLYMOUTH,MA,2360,PLYMOUTH,5087462000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
763,OLATHE MEDICAL CENTER,20333 WEST 151ST STREET,OLATHE,KS,66061,JOHNSON,9137914200,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
764,SAN GORGONIO MEMORIAL HOSPITAL,600 NORTH HIGHLAND SPRINGS AVENUE,BANNING,CA,92220,RIVERSIDE,9518451121,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,2
765,METRO NASHVILLE GENERAL HOSPITAL,1818 ALBION STREET,NASHVILLE,TN,37208,DAVIDSON,6153414490,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,2
766,ST PETER'S HOSPITAL,315 SOUTH MANNING BOULEVARD,ALBANY,NY,12208,ALBANY,5185251550,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
767,PROGRESS WEST HOSPITAL,2 PROGRESS POINT PKWY,O FALLON,MO,63368,SAINT CHARLES,6363441000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
768,NORTH FLORIDA REGIONAL MEDICAL CENTER,6500 NEWBERRY RD,GAINESVILLE,FL,32605,ALACHUA,3523334100,Acute Care Hospitals,Proprietary,TRUE,TRUE,3
769,BOLIVAR MEDICAL CENTER,901 E SUNFLOWER RD,CLEVELAND,MS,38732,BOLIVAR,6628460061,Acute Care Hospitals,Proprietary,TRUE,TRUE,2
770,NESHOBA COUNTY GENERAL HOSPITAL,1001 HOLLAND AVENUE,PHILADELPHIA,MS,39350,NESHOBA,6016631200,Acute Care Hospitals,Government - Local,TRUE,TRUE,3
771,COMMUNITY MEMORIAL HOSPITAL SAN BUENAVENTURA,147 N BRENT ST,VENTURA,CA,93003,VENTURA,8056525011,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
772,ASHLEY COUNTY MEDICAL CENTER,1015 UNITY ROAD,CROSSETT,AR,71635,ASHLEY,8703644111,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
773,GOOD SAMARITAN HOSPITAL OF SUFFERN,255 LAFAYETTE AVENUE,SUFFERN,NY,10901,ROCKLAND,9143685000,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,2
774,JEWISH HOSPITAL & ST MARY'S HEALTHCARE,200 ABRAHAM FLEXNER WAY,LOUISVILLE,KY,40202,JEFFERSON,5025874011,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2
775,ST ELIZABETH FLORENCE,4900 HOUSTON ROAD,FLORENCE,KY,41042,BOONE,8592125220,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
776,MERIT HEALTH CENTRAL,1850 CHADWICK DR,JACKSON,MS,39204,HINDS,6013761000,Acute Care Hospitals,Proprietary,TRUE,TRUE,2
777,MERCY HEALTH LAKESHORE CAMPUS,72 SOUTH STATE STREET,SHELBY,MI,49455,OCEANA,2318612156,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available
778,WINNER REGIONAL HEALTHCARE CENTER - CAH,745 EAST 8TH STREET,WINNER,SD,57580,TRIPP,6058427100,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available
779,MEMORIAL HERMANN MEMORIAL CITY MEDICAL CENTER,921 GESSNER,HOUSTON,TX,77024,HARRIS,7132423000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,5
780,ASHLAND HEALTH CENTER,709 OAK STREET,ASHLAND,KS,67831,CLARK,6206352241,Critical Access Hospitals,Government - Hospital District or Authority,FALSE,TRUE,Not Available
781,ESSENTIA HEALTH SANDSTONE,109 COURT AVE SOUTH,SANDSTONE,MN,55072,PINE,3202452212,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available
782,MILLCREEK COMMUNITY HOSPITAL,5515 PEACH STREET,ERIE,PA,16509,ERIE,8148644031,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,3
783,ST VINCENT HOSPITAL GENERAL DISTRICT,822 W 4TH STREET,LEADVILLE,CO,80461,LAKE,7194860230,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,Not Available
784,EVANGELICAL COMMUNITY HOSPITAL,ONE HOSPITAL DRIVE,LEWISBURG,PA,17837,UNION,5705222200,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,3
785,ROCHESTER GENERAL HOSPITAL,1425 PORTLAND AVENUE,ROCHESTER,NY,14621,MONROE,5859224000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
786,CONTINUECARE HOSPITAL AT MEDICAL CENTER ODESSA,"500 WEST  4TH STREET , 4TH FLOOR",ODESSA,TX,79761,ECTOR,2176163297,Acute Care Hospitals,Voluntary non-profit - Private,FALSE,,Not Available
787,CROZER CHESTER MEDICAL CENTER,ONE MEDICAL CENTER BOULEVARD,UPLAND,PA,19013,DELAWARE,6104472000,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,2
788,ADVENTIST HINSDALE HOSPITAL,120 NORTH OAK ST,HINSDALE,IL,60521,DUPAGE,6308569000,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,4
789,MEMORIAL MEDICAL CENTER,216 SUNSET PLACE,NEILLSVILLE,WI,54456,CLARK,7157433101,Critical Access Hospitals,Voluntary non-profit - Church,TRUE,TRUE,3
790,MAYAGUEZ MEDICAL CENTER DR RAMON EMETERIO BETANCES,CARR 2 BO SABALOS,MAYAGUEZ,PR,682,MAYAGUEZ,7876529200,Acute Care Hospitals,Proprietary,TRUE,TRUE,Not Available
791,WALKER BAPTIST MEDICAL CENTER,3400 HIGHWAY 78 EAST,JASPER,AL,35502,WALKER,2053874000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
792,BORGESS-LEE MEMORIAL HOSPITAL,420 W HIGH STREET,DOWAGIAC,MI,49047,CASS,2697828681,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
793,GRAND VIEW HOSPITAL,700 LAWN AVENUE,SELLERSVILLE,PA,18960,BUCKS,2154534615,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,4
794,PATIENTS CHOICE MEDICAL CENTER,347 MAGNOLIA DRIVE,RALEIGH,MS,39153,SMITH,6017829997,Acute Care Hospitals,Proprietary,FALSE,,Not Available
795,AVERA HEART HOSPITAL OF SOUTH DAKOTA,4500 W 69TH ST,SIOUX FALLS,SD,57108,MINNEHAHA,6059777000,Acute Care Hospitals,Proprietary,TRUE,TRUE,5
796,MERCY HOSPITAL BERRYVILLE,214 CARTER STREET,BERRYVILLE,AR,72616,CARROLL,8704233355,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
797,SHRINERS HOSPITAL FOR CHILDREN-PORTLAND,3101 SW SAM JACKSON PARK ROAD,PORTLAND,OR,97239,MULTNOMAH,5032415090,Childrens,Voluntary non-profit - Private,FALSE,TRUE,Not Available
798,PROVIDENCE ALASKA MEDICAL CENTER,3200 PROVIDENCE DRIVE,ANCHORAGE,AK,99508,ANCHORAGE,9075622211,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,3
799,BANNER IRONWOOD MEDICAL CENTER,37000 NORTH GANTZEL ROAD,SAN TAN VALLEY,AZ,85140,PINAL,4803944030,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
800,RIDGEVIEW SIBLEY MEDICAL CENTER,601 WEST CHANDLER,ARLINGTON,MN,55307,SIBLEY,5079642271,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available
801,ETMC HENDERSON,300 WILSON STREET,HENDERSON,TX,75652,RUSK,9036577541,Acute Care Hospitals,Voluntary non-profit - Private,FALSE,TRUE,3
802,LINTON HOSPITAL - CAH,518 NORTH BROADWAY,LINTON,ND,58552,EMMONS,7012544511,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available
803,CHI HEALTH NEBRASKA HEART,7500 SOUTH 91ST ST,LINCOLN,NE,68526,LANCASTER,4023283000,Acute Care Hospitals,Voluntary non-profit - Private,FALSE,TRUE,5
804,ADAMS COUNTY REGIONAL MEDICAL CENTER,230 MEDICAL CENTER DRIVE,SEAMAN,OH,45679,ADAMS,9373863400,Critical Access Hospitals,Government - Local,TRUE,TRUE,3
805,ALLENDALE COUNTY HOSPITAL,1787 ALLENDALE FAIRFAX RD,FAIRFAX,SC,29827,ALLENDALE,8036323311,Critical Access Hospitals,Government - Local,TRUE,TRUE,Not Available
806,NEMOURS CHILDREN'S HOSPITAL,13535 NEMOURS PKWY,ORLANDO,FL,32827,ORANGE,4075674000,Childrens,Voluntary non-profit - Private,TRUE,TRUE,Not Available
807,HANCOCK MEDICAL CENTER,149 DRINKWATER BLVD,BAY SAINT LOUIS,MS,39521,HANCOCK,2284678600,Acute Care Hospitals,Government - Local,TRUE,TRUE,3
808,DEFIANCE REGIONAL MEDICAL CENTER,1200 RALSTON AVENUE,DEFIANCE,OH,43512,DEFIANCE,4197836955,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
809,"SOUTHSIDE COMMUNITY HOSPITAL, INC",800 OAK STREET,FARMVILLE,VA,23901,PRINCE EDWARD,4343928811,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,3
810,TUCSON MEDICAL CENTER,5301 EAST GRANT ROAD,TUCSON,AZ,85712,PIMA,5203275461,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
811,GLEN COVE HOSPITAL,101 ST ANDREWS LANE,GLEN COVE,NY,11542,NASSAU,5166747300,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2
812,BROOKDALE HOSPITAL MEDICAL CENTER,1 BROOKDALE PLAZA,BROOKLYN,NY,11212,KINGS,7182405966,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,1
813,DELNOR COMMUNITY HOSPITAL,300 RANDALL RD,GENEVA,IL,60134,KANE,6302083000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
814,ST CATHERINE HOSPITAL,401 EAST SPRUCE,GARDEN CITY,KS,67846,FINNEY,6202722222,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
815,UNIVERSITY HOSPITAL ( STONY BROOK ),HEALTH SCIENCES CENTER SUNY,STONY BROOK,NY,11794,SUFFOLK,6314444000,Acute Care Hospitals,Government - State,TRUE,TRUE,2
816,RIVERVIEW REGIONAL MEDICAL CENTER,158 HOSPITAL DRIVE,CARTHAGE,TN,37030,SMITH,6157359815,Critical Access Hospitals,Proprietary,TRUE,TRUE,3
817,MUNICIPAL HOSPITAL AND GRANITE MANOR,345 TENTH AVENUE,GRANITE FALLS,MN,56241,YELLOW MEDICINE,3205643111,Critical Access Hospitals,Government - Local,TRUE,TRUE,3
818,SPARTA COMMUNITY HOSPITAL,818 E BROADWAY,SPARTA,IL,62286,RANDOLPH,6184432177,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,Not Available
819,LAFAYETTE REGIONAL HEALTH CENTER,1500 STATE STREET,LEXINGTON,MO,64067,LAFAYETTE,6602592203,Critical Access Hospitals,Proprietary,TRUE,TRUE,3
820,MEMORIAL HEALTHCARE,826 WEST KING STREET,OWOSSO,MI,48867,SHIAWASSEE,9897235211,Acute Care Hospitals,Voluntary non-profit - Other,FALSE,TRUE,2
821,INDIANA UNIVERSITY HEALTH ARNETT HOSPITAL,5165 MCCARTY LN,LAFAYETTE,IN,47905,TIPPECANOE,7654488000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
822,MEMORIAL HOSPITAL,1401 WEST LOCUST,STILWELL,OK,74960,ADAIR,9186963101,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
823,WEST PARK HOSPITAL DISTRICT,707 SHERIDAN AVENUE,CODY,WY,82414,PARK,3075782488,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,4
824,NORTHEAST REGIONAL MEDICAL CENTER,315 S OSTEOPATHY,KIRKSVILLE,MO,63501,ADAIR,6607851000,Acute Care Hospitals,Proprietary,TRUE,TRUE,4
825,AMERY HOSPITAL & CLINIC,265 GRIFFIN STREET EAST,AMERY,WI,54001,POLK,7152680300,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
826,SHELBY MEMORIAL HOSPITAL,200 S CEDAR ST,SHELBYVILLE,IL,62565,SHELBY,2177743961,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
827,BARNES-JEWISH WEST COUNTY HOSPITAL,12634 OLIVE BOULEVARD,CREVE COEUR,MO,63141,SAINT LOUIS,3149968000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
828,HUDSON HOSPITAL,405 STAGELINE ROAD,HUDSON,WI,54016,SAINT CROIX,7155316000,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
829,CITIZENS BAPTIST MEDICAL CENTER,604 STONE AVENUE,TALLADEGA,AL,35161,TALLADEGA,2567614542,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
830,COMMUNITY HOSPITAL INC,805 FRIENDSHIP ROAD,TALLASSEE,AL,36078,ELMORE,3342836541,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
831,GHS GREENVILLE MEMORIAL HOSPITAL,701 GROVE RD,GREENVILLE,SC,29605,GREENVILLE,8644557000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
832,TRINITY REGIONAL MEDICAL CENTER,802 KENYON RD,FORT DODGE,IA,50501,WEBSTER,5155733101,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
833,"COOK CHILDRENS NORTHEAST HOSPITAL, LLC",6316 PRECINCT LINE RD,HURST,TX,76054,TARRANT,8176052500,Acute Care Hospitals,Physician,TRUE,,Not Available
834,KERN MEDICAL CENTER,1700 MOUNT VERNON AVENUE,BAKERSFIELD,CA,93306,KERN,6613262000,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,1
835,HARLAN COUNTY HEALTH SYSTEM,"P O BOX 836, 717 NORTH BROWN ST",ALMA,NE,68920,HARLAN,3089282151,Critical Access Hospitals,Voluntary non-profit - Other,TRUE,TRUE,Not Available
836,IDAHO DOCTORS HOSPITAL,350 N MERIDIAN STREET,BLACKFOOT,ID,83221,BINGHAM,2087822900,Acute Care Hospitals,Proprietary,FALSE,TRUE,Not Available
837,RYDER MEMORIAL HOSPITAL INC,355 AVE FONT MARTELO,HUMACAO,PR,791,HUMACAO,7878520768,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available
838,GLENDALE ADVENTIST MEDICAL CENTER,1509 E WILSON TERRACE,GLENDALE,CA,91206,LOS ANGELES,8184098202,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
839,ST ANTHONY COMMUNITY HOSPITAL,15 - 19  MAPLE AVENUE,WARWICK,NY,10990,ORANGE,8459862276,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,3
840,SUBURBAN COMMUNITY HOSPITAL,2701 DEKALB PIKE,NORRISTOWN,PA,19401,MONTGOMERY,2152782000,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,2
841,ADVOCATE LUTHERAN GENERAL HOSPITAL,1775 DEMPSTER ST,PARK RIDGE,IL,60068,COOK,8477232210,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,3
842,COLUMBUS COMMUNITY HOSPITAL,110 SHULT DR,COLUMBUS,TX,78934,COLORADO,9797322371,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
